1,1,133
2,4,255
3,5,375
4,5,459
5,6,562
6,6,637
7,7,719
8,10,790
9,10,891
10,11,982
11,11,1072
12,11,1161
13,14,1244
14,14,1323
15,14,1406
16,14,1491
17,14,1584
18,15,1679
19,17,1751
20,18,1823
21,19,1896
22,19,1963
23,19,2030
24,20,2106
25,20,2181
26,21,2256
27,22,2330
28,23,2390
29,24,2472
30,24,2540
31,25,2600
32,25,2651
33,25,2703
34,27,2762
35,27,2835
36,28,2895
37,29,2961
38,30,3032
39,32,3095
40,34,3160
41,35,3222
42,35,3286
43,35,3347
44,35,3403
45,35,3448
46,36,3515
47,39,3576
48,40,3620
49,40,3673
50,41,3721
51,42,3777
52,43,3825
53,43,3879
54,43,3924
55,43,3973
56,44,4012
57,44,4051
58,44,4090
59,44,4140
60,45,4203
61,46,4248
62,47,4291
63,47,4329
64,48,4367
65,48,4417
66,48,4463
67,49,4509
68,50,4554
69,51,4587
70,51,4614
71,52,4649
72,53,4678
73,55,4711
74,56,4745
75,57,4784
76,57,4824
77,57,4855
78,58,4893
79,58,4937
80,60,4993
81,60,5037
82,62,5082
83,62,5125
84,62,5164
85,63,5203
86,63,5245
87,68,5277
88,68,5317
89,69,5353
90,69,5379
91,70,5420
92,71,5444
93,71,5476
94,71,5519
95,71,5551
96,71,5585
97,74,5614
98,74,5650
99,74,5683
100,74,5717
101,75,5747
102,76,5775
103,77,5804
104,77,5832
105,79,5867
106,81,5907
107,81,5941
108,82,5965
109,82,5994
110,82,6031
111,82,6054
112,82,6081
113,82,6108
114,83,6141
115,83,6167
116,83,6191
117,83,6214
118,83,6243
119,83,6284
120,83,6310
121,83,6336
122,85,6364
123,85,6379
124,86,6402
125,86,6427
126,86,6443
127,88,6473
128,90,6490
129,91,6505
130,91,6527
131,91,6545
132,91,6565
133,91,6594
134,91,6614
135,92,6634
136,92,6649
137,94,6668
138,95,6690
139,96,6710
140,96,6729
141,96,6747
142,96,6765
143,97,6779
144,98,6795
145,100,6811
146,101,6823
147,101,6844
148,101,6864
149,101,6886
150,102,6900
151,102,6913
152,102,6930
153,102,6942
154,104,6961
155,106,6981
156,107,6995
157,107,7009
158,107,7022
159,108,7037
160,108,7056
161,109,7067
162,109,7095
163,109,7107
164,109,7124
165,110,7133
166,112,7153
167,112,7164
168,114,7180
169,114,7189
170,114,7204
171,114,7226
172,115,7234
173,116,7253
174,116,7266
175,116,7281
176,118,7295
177,118,7303
178,119,7318
179,119,7334
180,120,7354
181,122,7362
182,122,7377
183,122,7387
184,122,7394
185,122,7409
186,122,7418
187,122,7431
188,123,7440
189,123,7451
190,123,7459
191,123,7480
192,124,7490
193,124,7497
194,124,7505
195,125,7511
196,128,7519
197,131,7536
198,131,7551
199,132,7562
200,132,7570
201,132,7589
202,132,7593
203,135,7604
204,136,7612
205,137,7619
206,138,7626
207,140,7635
208,140,7643
209,140,7658
210,140,7667
211,140,7678
212,141,7689
213,142,7696
214,143,7705
215,143,7712
216,143,7723
217,143,7732
218,143,7742
219,144,7756
220,145,7768
221,146,7777
222,146,7787
223,147,7793
224,147,7800
225,148,7808
226,149,7818
227,149,7823
228,149,7832
229,149,7841
230,150,7852
231,150,7865
232,151,7870
233,151,7881
234,151,7887
235,152,7898
236,156,7913
237,158,7927
238,158,7936
239,159,7946
240,159,7954
241,160,7958
242,160,7966
243,161,7972
244,161,7979
245,161,7989
246,161,7998
247,161,8003
248,161,8013
249,161,8015
250,161,8019
251,161,8025
252,162,8039
253,162,8047
254,163,8053
255,164,8056
256,164,8062
257,165,8071
258,165,8076
259,165,8083
260,165,8093
261,165,8099
262,165,8106
263,166,8110
264,167,8114
265,168,8123
266,169,8131
267,171,8138
268,173,8142
269,173,8148
270,173,8154
271,173,8161
272,175,8166
273,175,8172
274,175,8184
275,175,8189
276,175,8193
277,176,8196
278,176,8202
279,177,8213
280,177,8223
281,177,8234
282,178,8240
283,178,8247
284,179,8250
285,179,8255
286,179,8262
287,179,8271
288,179,8276
289,179,8280
290,179,8288
291,180,8293
292,180,8297
293,180,8305
294,181,8313
295,183,8317
296,183,8323
297,183,8333
298,184,8337
299,184,8343
300,185,8348
301,185,8352
302,186,8361
303,186,8362
304,188,8367
305,189,8369
306,189,8378
307,190,8378
308,192,8386
309,192,8389
310,192,8395
311,192,8395
312,193,8401
313,193,8405
314,193,8415
315,193,8419
316,194,8427
317,195,8432
318,196,8438
319,197,8446
320,197,8449
321,198,8454
322,198,8458
323,198,8459
324,199,8464
325,200,8473
326,200,8477
327,200,8483
328,200,8488
329,201,8489
330,201,8493
331,202,8501
332,202,8502
333,202,8507
334,202,8508
335,203,8512
336,204,8518
337,205,8521
338,205,8527
339,205,8528
340,205,8534
341,205,8539
342,205,8544
343,205,8547
344,206,8549
345,208,8550
346,209,8551
347,210,8559
348,210,8559
349,212,8563
350,213,8571
351,213,8575
352,213,8579
353,214,8580
354,215,8584
355,216,8589
356,217,8594
357,217,8597
358,218,8600
359,219,8604
360,219,8608
361,222,8610
362,223,8618
363,223,8623
364,223,8626
365,223,8631
366,224,8639
367,224,8645
368,224,8650
369,225,8652
370,225,8653
371,225,8658
372,225,8660
373,226,8661
374,226,8666
375,228,8666
376,229,8671
377,230,8675
378,232,8677
379,233,8682
380,233,8687
381,234,8691
382,234,8691
383,235,8694
384,235,8700
385,235,8703
386,236,8704
387,236,8711
388,237,8722
389,237,8730
390,237,8733
391,238,8742
392,238,8745
393,239,8746
394,239,8747
395,240,8751
396,241,8755
397,241,8763
398,241,8766
399,241,8771
400,241,8773
401,241,8777
