159,338,3423,3404,6029,108,7037
160,338,3432,3414,6009,108,7056
161,331,3436,3431,6000,109,7067
162,328,3451,3439,5972,109,7095
163,321,3461,3457,5960,109,7107
164,323,3470,3471,5943,109,7124
165,328,3476,3476,5935,110,7133
166,325,3488,3485,5917,112,7153
167,326,3493,3495,5906,112,7164
168,326,3503,3501,5892,114,7180
169,330,3509,3506,5883,114,7189
170,329,3518,3514,5868,114,7204
171,332,3528,3520,5846,114,7226
172,337,3535,3527,5839,115,7234
173,331,3549,3538,5821,116,7253
174,333,3557,3553,5808,116,7266
175,333,3566,3560,5793,116,7281
176,330,3579,3575,5781,118,7295
177,334,3584,3584,5771,118,7303
178,333,3594,3591,5758,119,7318
179,330,3607,3603,5743,119,7334
180,330,3616,3617,5724,120,7354
181,325,3621,3631,5718,122,7362
182,322,3630,3639,5703,122,7377
183,324,3633,3644,5693,122,7387
184,319,3637,3654,5686,122,7394
185,313,3648,3664,5671,122,7409
186,311,3651,3677,5662,122,7418
187,308,3655,3683,5649,122,7431
188,305,3661,3690,5641,123,7440
189,300,3668,3701,5630,123,7451
190,297,3673,3712,5622,123,7459
191,297,3685,3717,5601,123,7480
192,305,3692,3721,5592,124,7490
193,309,3694,3724,5585,124,7497
194,307,3697,3728,5577,124,7505
195,297,3701,3741,5572,125,7511
196,291,3705,3749,5567,128,7519
197,293,3713,3753,5553,131,7536
198,297,3724,3757,5538,131,7551
199,302,3730,3763,5528,132,7562
200,301,3734,3768,5520,132,7570
201,299,3745,3776,5501,132,7589
202,309,3747,3777,5497,132,7593
203,309,3751,3779,5489,135,7604
204,306,3756,3786,5482,136,7612
205,305,3761,3792,5476,137,7619
206,302,3766,3799,5470,138,7626
207,302,3771,3804,5463,140,7635
208,306,3777,3806,5455,140,7643
209,302,3789,3816,5440,140,7658
210,308,3795,3822,5431,140,7667
211,309,3803,3826,5420,140,7678
212,306,3810,3837,5410,141,7689
213,307,3815,3844,5404,142,7696
214,306,3819,3850,5396,143,7705
215,298,3824,3861,5389,143,7712
216,292,3831,3872,5378,143,7723
217,293,3837,3879,5369,143,7732
218,290,3844,3888,5359,143,7742
219,292,3856,3893,5346,144,7756
220,296,3863,3901,5335,145,7768
221,299,3868,3905,5327,146,7777
222,297,3876,3912,5317,146,7787
223,297,3881,3919,5312,147,7793
224,293,3885,3929,5305,147,7800
225,291,3890,3935,5298,148,7808
226,290,3898,3942,5289,149,7818
227,285,3901,3954,5284,149,7823
228,281,3907,3963,5275,149,7832
229,281,3914,3969,5266,149,7841
230,278,3921,3977,5256,150,7852
231,282,3928,3983,5243,150,7865
232,286,3933,3985,5239,151,7870
233,288,3940,3989,5228,151,7881
234,286,3943,3997,5222,151,7887
235,281,3951,4006,5212,152,7898
236,283,3963,4012,5201,156,7913
237,287,3975,4018,5189,158,7927
238,289,3980,4029,5180,158,7936
239,292,3987,4032,5171,159,7946
240,292,3990,4039,5163,159,7954
241,289,3994,4045,5160,160,7958
242,289,3997,4049,5152,160,7966
243,283,4000,4058,5147,161,7972
244,278,4005,4065,5140,161,7979
245,275,4013,4073,5130,161,7989
246,273,4019,4085,5121,161,7998
247,273,4021,4091,5116,161,8003
248,267,4026,4100,5106,161,8013
249,264,4028,4108,5104,161,8015
250,260,4032,4114,5100,161,8019
251,259,4038,4119,5094,161,8025
252,258,4048,4126,5081,162,8039
253,262,4052,4131,5073,162,8047
254,259,4055,4139,5068,163,8053
255,255,4058,4146,5066,164,8056
256,255,4063,4149,5060,164,8062
257,257,4068,4152,5052,165,8071
258,260,4072,4154,5047,165,8076
259,259,4078,4159,5040,165,8083
260,260,4085,4163,5030,165,8093
261,264,4088,4167,5024,165,8099
262,265,4093,4171,5017,165,8106
263,262,4096,4179,5014,166,8110
264,261,4100,4183,5011,167,8114
265,260,4107,4188,5003,168,8123
266,260,4111,4195,4996,169,8131
267,261,4116,4199,4991,171,8138
268,263,4119,4202,4989,173,8142
269,260,4125,4208,4983,173,8148
270,260,4130,4212,4977,173,8154
271,259,4136,4219,4970,173,8161
272,255,4140,4230,4967,175,8166
273,254,4146,4235,4961,175,8172
274,255,4156,4240,4949,175,8184
275,256,4159,4247,4944,175,8189
276,256,4162,4252,4940,175,8193
277,253,4162,4258,4938,176,8196
278,246,4166,4265,4932,176,8202
279,247,4175,4268,4921,177,8213
280,251,4184,4272,4912,177,8223
281,259,4191,4274,4901,177,8234
282,260,4196,4278,4896,178,8240
283,266,4201,4279,4889,178,8247
284,266,4204,4285,4887,179,8250
285,263,4207,4291,4881,179,8255
286,259,4211,4298,4875,179,8262
287,256,4218,4305,4866,179,8271
288,260,4223,4308,4861,179,8276
289,257,4225,4316,4857,179,8280
290,257,4229,4319,4849,179,8288
291,258,4232,4322,4845,180,8293
292,257,4235,4326,4841,180,8297
293,253,4240,4333,4833,180,8305
294,256,4246,4335,4826,181,8313
295,257,4248,4339,4824,183,8317
296,256,4254,4343,4818,183,8323
