1,252,399,387,12434,0,451
2,377,682,714,12088,2,766
3,454,913,949,11829,2,1045
4,510,1094,1152,11618,3,1264
5,516,1258,1355,11406,3,1482
6,518,1419,1537,11206,3,1684
7,539,1569,1701,11014,4,1878
8,545,1704,1857,10830,5,2061
9,574,1822,1975,10680,5,2211
10,596,1939,2081,10520,6,2374
11,621,2057,2178,10369,7,2528
12,631,2183,2295,10210,7,2690
13,655,2294,2414,10063,8,2839
14,649,2405,2543,9917,9,2986
15,663,2529,2652,9763,9,3142
16,699,2614,2748,9645,9,3260
17,698,2734,2837,9484,9,3423
18,739,2833,2917,9341,10,3565
19,734,2923,3028,9218,10,3690
20,737,3012,3119,9097,11,3807
21,734,3106,3217,8976,12,3933
22,749,3206,3302,8850,12,4061
23,753,3295,3406,8730,12,4178
24,759,3376,3495,8620,14,4292
25,772,3452,3571,8517,16,4397
26,777,3531,3651,8414,20,4505
27,782,3607,3727,8303,20,4615
28,779,3692,3807,8195,20,4724
29,804,3772,3879,8088,22,4829
30,804,3844,3961,7985,22,4938
31,804,3917,4039,7887,22,5036
32,788,3981,4134,7800,23,5125
33,778,4062,4211,7691,23,5234
34,798,4133,4279,7593,24,5333
35,799,4190,4350,7515,24,5411
36,794,4250,4418,7437,24,5489
37,814,4315,4457,7349,25,5578
38,830,4377,4506,7265,25,5663
39,827,4433,4575,7177,27,5751
40,822,4485,4637,7098,27,5831
41,817,4541,4693,7019,27,5911
42,834,4591,4741,6948,28,5982
43,833,4648,4796,6871,28,6061
44,845,4709,4839,6777,28,6153
45,857,4748,4885,6715,29,6216
46,867,4801,4923,6637,29,6296
47,885,4860,4960,6561,30,6373
48,892,4916,5012,6484,31,6452
49,893,4964,5069,6413,31,6521
50,894,5005,5118,6358,31,6578
51,887,5058,5168,6292,32,6645
52,909,5118,5201,6214,32,6723
53,925,5183,5243,6124,33,6813
54,940,5228,5303,6062,33,6875
55,938,5275,5353,6002,35,6940
56,955,5322,5387,5937,35,7004
